idno,parentID,objID,run,rowc,camcol,htmid,parent_ra,ra,parent_dec,dec,separation,mjd_g,psfMag_g,psfMagErr_g,mjd_r,psfMag_r,psfMagErr_r,flags,calMag_g,calMagErr_g,calMag_r,calMagErr_r,Flux_g,FluxErr_g,Flux_r,FluxErr_r,calFlux_g,calFluxErr_g,calFlux_r,calFluxErr_r,ZSPEC
1,8647474690342453601,8658195422636212321,5853,1118.687,1,8832392720829,18.1924949496,18.1924949496,-1.21874374491,-1.21874374491,0.0656595903204,53685.2804302,20.79723,0.088443,53685.277113,19.44336,0.02653545,STATIONARY BINNED1 INTERP MANYPETRO NOPETRO,20.79723,0.088443,19.44336,0.02653545,1.74173246391e-05,1.41979663629e-06,6.06261260385e-05,1.481858773e-06,1.74173246391e-05,1.41979663629e-06,6.06261260385e-05,1.481858773e-06,3.595
1,8647474690342453601,8658195547190395013,5882,702.6664,1,8832392720828,18.1924965209,18.1924965209,-1.21878037773,-1.21878037773,0.0691571559842,53694.2944357,20.90667,0.1603531,53694.2911187,19.4032,0.03478932,INTERP_CENTER BAD_MOVING_FIT_CHILD PEAKS_TOO_CLOSE STATIONARY NO,20.90667,0.1603531,19.4032,0.03478932,1.57460385512e-05,2.32754532722e-06,6.2910830374e-05,2.01599151219e-06,1.57460385512e-05,2.32754532722e-06,6.2910830374e-05,2.01599151219e-06,3.595
1,8647474690342453601,8658195603024773246,5895,805.3737,1,8832392720829,18.1924997294,18.1924997294,-1.21874030796,-1.21874030796,0.075944286487,53697.2784958,21.31696,0.08147316,53697.2751788,19.6065,0.02277284,STATIONARY BINNED1 INTERP NOPETRO,21.31696,0.08147316,19.6065,0.02277284,1.07855949981e-05,8.10830853328e-07,5.21670110921e-05,1.09433279921e-06,1.07855949981e-05,8.10830853328e-07,5.21670110921e-05,1.09433279921e-06,3.595
1,8647474690342453601,8658195645976543354,5905,995.9192,1,8832392720828,18.1924945871,18.1924945871,-1.21881740316,-1.21881740316,0.202381882883,53700.2773962,20.80605,0.04511268,53700.2740791,19.38075,0.02123656,STATIONARY BINNED1 INTERP NOPETRO,20.80605,0.04511268,19.38075,0.02123656,1.72763082134e-05,7.18349521622e-07,6.42253177362e-05,1.25633680967e-06,1.72763082134e-05,7.18349521622e-07,6.42253177362e-05,1.25633680967e-06,3.595
1,8647474690342453601,8658195727578824878,5924,333.894,1,8832392720825,18.192503412,18.192503412,-1.21874979641,-1.21874979641,0.0440700318424,53705.2642678,20.74768,0.04495273,53705.2609507,19.41409,0.01940078,STATIONARY BINNED1 INTERP NOPETRO,20.74768,0.04495273,19.41409,0.01940078,1.82311799674e-05,7.55310334e-07,6.22829243213e-05,1.11302872377e-06,1.82311799674e-05,7.55310334e-07,6.22829243213e-05,1.11302872377e-06,3.595
1,8647474690342453601,8658197286650380475,6287,911.229,1,8832392720829,18.1924652458,18.1924652458,-1.21874116372,-1.21874116372,0.143263035281,53975.349063,20.74764,0.03481191,53975.3457459,19.4216,0.02189671,STATIONARY BINNED1 INTERP MANYPETRO NOPETRO,20.74764,0.03481191,19.4216,0.02189671,1.82318520728e-05,5.84942526616e-07,6.18535598236e-05,1.24756259196e-06,1.82318520728e-05,5.84942526616e-07,6.18535598236e-05,1.24756259196e-06,3.595
1,8647474690342453601,8658197578684956872,6355,914.2382,1,8832392720829,18.1924914313,18.1924914313,-1.21873774676,-1.21873774676,0.0899971771994,53994.3720566,20.7125,0.03815825,53994.3687396,19.39313,0.02065962,STATIONARY BINNED1 NOPETRO,20.7125,0.03815825,19.39313,0.02065962,1.88319603507e-05,6.62248611525e-07,6.34970867704e-05,1.20834988637e-06,1.88319603507e-05,6.62248611525e-07,6.34970867704e-05,1.20834988637e-06,3.595
1,8647474690342453601,8658197844997046465,6417,995.5436,1,8832392720829,18.1924873025,18.1924873025,-1.21872914677,-1.21872914677,0.124165320956,54008.3153088,20.78951,0.03961644,54008.3119916,19.44312,0.01819897,STATIONARY BINNED1 NOPETRO,20.78951,0.03961644,19.44312,0.01819897,1.75416969806e-05,6.40507128406e-07,6.06395301983e-05,1.01653692292e-06,1.75416969806e-05,6.40507128406e-07,6.06395301983e-05,1.01653692292e-06,3.595
1,8647474690342453601,8658197879357112493,6425,227.0106,1,8832392720829,18.1924791287,18.1924791287,-1.21875816275,-1.21875816275,0.0743057899704,54010.3101191,20.7281,0.03422472,54010.3068019,19.39723,0.01972908,STATIONARY BINNED1 NOPETRO,20.7281,0.03422472,19.39723,0.01972908,1.85631519529e-05,5.85512700977e-07,6.3257736144e-05,1.14957514495e-06,1.85631519529e-05,5.85512700977e-07,6.3257736144e-05,1.14957514495e-06,3.595
1,8647474690342453601,8658197913718423690,6433,584.434,1,8832392720831,18.1924756624,18.1924756624,-1.21877533049,-1.21877533049,0.0994289881738,54012.3028519,20.70871,0.07242361,54012.2995347,19.38439,0.02867446,STATIONARY BINNED1 INTERP NOPETRO,20.70871,0.07242361,19.38439,0.02867446,1.88978518793e-05,1.26132750748e-06,6.40103389683e-05,1.69067954338e-06,1.88978518793e-05,1.26132750748e-06,6.40103389683e-05,1.69067954338e-06,3.595
1,8647474690342453601,8658197973848686734,6447,279.6117,1,8832392720828,18.1924849542,18.1924849542,-1.21878384142,-1.21878384142,0.0962965283239,54020.3089274,20.77722,0.05847368,54020.3056102,19.43845,0.02768487,STATIONARY BINNED1 INTERP NOPETRO,20.77722,0.05847368,19.43845,0.02768487,1.77415262165e-05,9.56140198338e-07,6.09009433709e-05,1.55305431732e-06,1.77415262165e-05,9.56140198338e-07,6.09009433709e-05,1.55305431732e-06,3.595
1,8647474690342453601,8658198076894478473,6471,559.8477,1,8832392720829,18.1924869551,18.1924869551,-1.21874722647,-1.21874722647,0.0681833563133,54028.3787316,20.7292,0.05153425,54028.3754145,19.44346,0.04166978,STATIONARY BINNED1 MANYPETRO,20.7292,0.05153425,19.44346,0.04166978,1.85443427992e-05,8.80749994596e-07,6.06205418463e-05,2.32681347568e-06,1.85443427992e-05,8.80749994596e-07,6.06205418463e-05,2.32681347568e-06,3.595
1,8647474690342453601,8658198111286067350,6479,647.0686,1,8832392720826,18.1925147886,18.1925147886,-1.21878692274,-1.21878692274,0.107057872855,54030.3023714,20.74856,0.03534541,54030.2990543,19.38972,0.01798026,STATIONARY BINNED1,20.74856,0.03534541,19.38972,0.01798026,1.8216399909e-05,5.93404184924e-07,6.36968460071e-05,1.05494596629e-06,1.8216399909e-05,5.93404184924e-07,6.36968460071e-05,1.05494596629e-06,3.595
1,8647474690342453601,8658198205761912938,6501,726.2394,1,8832392720825,18.192506572,18.192506572,-1.2187438486,-1.2187438486,0.068103525504,54035.3781045,20.72229,0.06606343,54035.3747874,19.41554,0.02247975,STATIONARY BINNED1 INTERP NOPETRO,20.72229,0.06606343,19.41554,0.02247975,1.86628150432e-05,1.13626624019e-06,6.21997928927e-05,1.28794914541e-06,1.86628150432e-05,1.13626624019e-06,6.21997928927e-05,1.28794914541e-06,3.595
1,8647474690342453601,8658198235839922343,6508,513.0328,1,8832392720829,18.1924794345,18.1924794345,-1.2187428906,-1.2187428906,0.098317245079,54037.2836561,20.7866,0.04184449,54037.2803391,19.41449,0.0190828,STATIONARY BINNED1 INTERP NOPETRO,20.7866,0.04184449,19.41449,0.0190828,1.75888080797e-05,6.78344011108e-07,6.22599804244e-05,1.09438289289e-06,1.75888080797e-05,6.78344011108e-07,6.22599804244e-05,1.09438289289e-06,3.595
1,8647474690342453601,8658198278789595251,6518,946.2562,1,8832392720829,18.1925013204,18.1925013204,-1.21875292305,-1.21875292305,0.031207882107,54040.2980035,20.67544,0.0724328,54040.2946863,19.34688,0.02601642,STATIONARY BINNED1 INTERP NOPETRO,20.67544,0.0724328,19.34688,0.02601642,1.94862449844e-05,1.30071832595e-06,6.62606162146e-05,1.58787474615e-06,1.94862449844e-05,1.30071832595e-06,6.62606162146e-05,1.58787474615e-06,3.595
1,8647474690342453601,8658198330305216687,6530,474.0349,1,8832392720829,18.1924842752,18.1924842752,-1.21872758219,-1.21872758219,0.133542640707,54047.3286906,21.88193,0.4921149,54047.3253735,19.44011,0.04668465,STATIONARY BINNED1 MANYPETRO NOPETRO,21.88193,0.4921149,19.44011,0.04668465,6.39920571691e-06,2.91555808174e-06,6.0807892526e-05,2.6148954656e-06,6.39920571691e-06,2.91555808174e-06,6.0807892526e-05,2.6148954656e-06,3.595
1,8647474690342453601,8658198360374116461,6537,176.439,1,8832392720829,18.1924780178,18.1924780178,-1.21873131212,-1.21873131212,0.133126085257,54049.3246935,20.81511,0.085697,54049.3213764,19.43599,0.02510876,STATIONARY BINNED1 NOPETRO,20.81511,0.085697,19.43599,0.02510876,1.71326415726e-05,1.35326051422e-06,6.10390998658e-05,1.41173545441e-06,1.71326415726e-05,1.35326051422e-06,6.10390998658e-05,1.41173545441e-06,3.595
1,8647474690342453601,8658198437704892607,6555,1357.764,1,8832392720828,18.1925034594,18.1925034594,-1.21877412327,-1.21877412327,0.0479414533632,54053.2886574,20.74314,0.03998365,54053.2853402,19.39972,0.02337404,STATIONARY BINNED1 NOPETRO,20.74314,0.03998365,19.39972,0.02337404,1.8307622126e-05,6.74631524258e-07,6.31128149107e-05,1.35884027045e-06,1.8307622126e-05,6.74631524258e-07,6.31128149107e-05,1.35884027045e-06,3.595
1,8647474690342453601,8658198493538877635,6568,224.6654,1,8832392720826,18.1925109214,18.1925109214,-1.21878036304,-1.21878036304,0.0796470556578,54056.2906792,20.80797,0.05619863,54056.2873621,19.4687,0.03324768,STATIONARY BINNED1 INTERP COSMIC_RAY NOPETRO,20.80797,0.05619863,19.4687,0.03324768,1.72457621859e-05,8.93296140213e-07,5.92274106415e-05,1.81387258269e-06,1.72457621859e-05,8.93296140213e-07,5.92274106415e-05,1.81387258269e-06,3.595
1,8647474690342453601,8658198545078812814,6580,296.891,1,8832392720825,18.1925361955,18.1925361955,-1.21871429091,-1.21871429091,0.214921331583,54059.2849365,20.65712,0.04300365,54059.2816193,19.40077,0.02106484,INTERP_CENTER STATIONARY BINNED1 INTERP NOPETRO,20.65712,0.04300365,19.40077,0.02106484,1.98180176214e-05,7.85375327989e-07,6.30518030933e-05,1.22341226757e-06,1.98180176214e-05,7.85375327989e-07,6.30518030933e-05,1.22341226757e-06,3.595
1,8647474690342453601,8658198596584407267,6592,579.2942,1,8832392720829,18.1924974335,18.1924974335,-1.21874319206,-1.21874319206,0.0659856184408,54061.2959417,20.77038,0.05711609,54061.2926246,19.43885,0.03386081,STATIONARY BINNED1 INTERP MANYPETRO NOPETRO,20.77038,0.05711609,19.43885,0.03386081,1.78537241986e-05,9.39839679739e-07,6.08785084699e-05,1.89881002489e-06,1.78537241986e-05,9.39839679739e-07,6.08785084699e-05,1.89881002489e-06,3.595
1,8647474690342453601,8658198613797109948,6596,392.7227,1,8832392720829,18.192484853,18.192484853,-1.21873945849,-1.21873945849,0.0950089805946,54062.2898,20.72888,0.0483567,54062.2864829,19.33479,0.02023468,INTERP_CENTER STATIONARY BINNED1 INTERP NOPETRO,20.72888,0.0483567,19.33479,0.02023468,1.85498125889e-05,8.26687299448e-07,6.70026352443e-05,1.24882226681e-06,1.85498125889e-05,8.26687299448e-07,6.70026352443e-05,1.24882226681e-06,3.595
1,8647474690342453601,8658198708259651703,6618,205.0645,1,8832392720829,18.1924907757,18.1924907757,-1.21874219623,-1.21874219623,0.0759656290648,54068.2704367,20.7719,0.09087852,54068.2671196,19.40683,0.03189982,STATIONARY BINNED1 INTERP NOPETRO,20.7719,0.09087852,19.40683,0.03189982,1.78287302349e-05,1.49330651857e-06,6.2700828265e-05,1.84237966499e-06,1.78287302349e-05,1.49330651857e-06,6.2700828265e-05,1.84237966499e-06,3.595
1,8647474690342453601,8658200155691876504,6955,799.9075,1,8832392720831,18.1924668809,18.1924668809,-1.2187629822,-1.2187629822,0.11760438667,54357.3279801,20.63711,0.0337258,54357.3246629,19.32517,0.01653912,STATIONARY BINNED1 INTERP NOPETRO,20.63711,0.0337258,19.32517,0.01653912,2.0186846583e-05,6.27384703562e-07,6.75989899132e-05,1.0298272247e-06,2.0186846583e-05,6.27384703562e-07,6.75989899132e-05,1.0298272247e-06,3.595
1,8647474690342453601,8658200194311192700,6964,870.4646,1,8832392720831,18.1924682851,18.1924682851,-1.21878501788,-1.21878501788,0.140940720453,54359.3596777,20.75879,0.05539089,54359.3563606,19.28424,0.02245577,STATIONARY BINNED1 INTERP COSMIC_RAY NOPETRO,20.75879,0.05539089,19.28424,0.02245577,1.80454573728e-05,9.21226835402e-07,7.01961861422e-05,1.4519464918e-06,1.80454573728e-05,9.21226835402e-07,7.01961861422e-05,1.4519464918e-06,3.595
1,8647474690342453601,8658200245876228225,6976,1091.791,1,8832392720829,18.1924906999,18.1924906999,-1.21874523493,-1.21874523493,0.0662942295938,54362.377699,20.59134,0.02950321,54362.3743819,19.29062,0.01877025,STATIONARY BINNED1 INTERP COSMIC_RAY MANYPETRO NOPETRO,20.59134,0.02950321,19.29062,0.01877025,2.1056475637e-05,5.72452875276e-07,6.97848772844e-05,1.20653775127e-06,2.1056475637e-05,5.72452875276e-07,6.97848772844e-05,1.20653775127e-06,3.595
1,8647474690342453601,8658200417650475167,7016,1096.925,1,8832392720829,18.1924914163,18.1924914163,-1.2187221105,-1.2187221105,0.144425592501,54376.3727861,20.57051,0.04262394,54376.369469,19.24841,0.02728417,STATIONARY BINNED1 NOPETRO,20.57051,0.04262394,19.24841,0.02728417,2.14645416404e-05,8.43047660393e-07,7.25515316979e-05,1.82332605702e-06,2.14645416404e-05,8.43047660393e-07,7.25515316979e-05,1.82332605702e-06,3.595
1,8647474690342453601,8658200512147226889,7038,869.6682,1,8832392720829,18.1925020012,18.1925020012,-1.21874547326,-1.21874547326,0.0580376979431,54382.3579833,20.61677,0.04989977,54382.3546662,19.32599,0.05148354,STATIONARY BINNED1 INTERP NOPETRO,20.61677,0.04989977,19.32599,0.05148354,2.05687863284e-05,9.45805918596e-07,6.75479509496e-05,3.20326153732e-06,2.05687863284e-05,9.45805918596e-07,6.75479509496e-05,3.20326153732e-06,3.595
1,8647474690342453601,8658200568007098496,7051,297.0077,1,8832392720829,18.1924940621,18.1924940621,-1.21874977982,-1.21874977982,0.046220463364,54385.3759572,20.55404,0.03370602,54385.3726401,19.31622,0.01797998,STATIONARY BINNED1 NOPETRO,20.55404,0.03370602,19.31622,0.01797998,2.17927795849e-05,6.76847772035e-07,6.81585749426e-05,1.12881008232e-06,2.17927795849e-05,6.76847772035e-07,6.81585749426e-05,1.12881008232e-06,3.595
1,8647474690342453601,8658200593776705659,7057,593.2885,1,8832392720825,18.1925047575,18.1925047575,-1.21870097828,-1.21870097828,0.218343224118,54387.3763667,20.61542,0.05109785,54387.3730496,19.24747,0.02881959,STATIONARY BINNED1 INTERP NOPETRO,20.61542,0.05109785,19.24747,0.02881959,2.05943902886e-05,9.69718851706e-07,7.26143765119e-05,1.92760197506e-06,2.05943902886e-05,9.69718851706e-07,7.26143765119e-05,1.92760197506e-06,3.595
1,8647474690342453601,8658200666759102594,7074,183.1332,1,8832392720831,18.1924623414,18.1924623414,-1.21876396358,-1.21876396358,0.134122729812,54391.377316,20.67217,0.06158183,54391.3739989,19.24781,0.03401709,STATIONARY BINNED1 INTERP,20.67217,0.06158183,19.24781,0.03401709,1.95450547617e-05,1.10919484587e-06,7.25916391284e-05,2.27452509813e-06,1.95450547617e-05,1.10919484587e-06,7.25916391284e-05,2.27452509813e-06,3.595
1,8647474690342453601,8658200709741084778,7084,1017.253,1,8832392720829,18.1924894887,18.1924894887,-1.21874396417,-1.21874396417,0.0724161715083,54394.358977,20.65464,0.04171548,54394.3556599,19.3134,0.02513031,STATIONARY BINNED1 INTERP NOPETRO,20.65464,0.04171548,19.3134,0.02513031,1.9863361581e-05,7.63590722106e-07,6.83358488674e-05,1.58182133738e-06,1.9863361581e-05,7.63590722106e-07,6.83358488674e-05,1.58182133738e-06,3.595
1,8647474690342453601,8658200761246875749,7096,73.30087,1,8832392720825,18.1925095827,18.1925095827,-1.21874672609,-1.21874672609,0.0640608816016,54396.3794856,20.44658,0.1366455,54396.3761685,19.30151,0.0492112,DEBLENDED_AS_MOVING MOVED BINNED1 NOPETRO CHILD,20.44658,0.1366455,19.30151,0.0492112,2.40610269652e-05,3.0293212921e-06,6.90883747053e-05,3.1316928184e-06,2.40610269652e-05,3.0293212921e-06,6.90883747053e-05,3.1316928184e-06,3.595
1,8647474690342453601,8658200782753366126,7101,102.1613,1,8832392720829,18.1924853638,18.1924853638,-1.21874771907,-1.21874771907,0.0708649090961,54402.369683,20.64718,0.1095224,54402.3663659,19.28047,0.02890798,STATIONARY BINNED1 INTERP,20.64718,0.1095224,19.28047,0.02890798,2.00003848345e-05,2.01859292541e-06,7.04403706859e-05,1.87563483516e-06,2.00003848345e-05,2.01859292541e-06,7.04403706859e-05,1.87563483516e-06,3.595
